Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Timor-Leste","Population totale","Population","2008","1050"
"Bilans Alimentaires","Timor-Leste","Population totale","Population","2013","1133"
"Bilans Alimentaires","Togo","Population totale","Population","2008","5987"
"Bilans Alimentaires","Togo","Population totale","Population","2013","6817"
"Bilans Alimentaires","Trinité-et-Tobago","Population totale","Population","2008","1316"
"Bilans Alimentaires","Trinité-et-Tobago","Population totale","Population","2013","1341"
"Bilans Alimentaires","Tunisie","Population totale","Population","2008","10391"
"Bilans Alimentaires","Tunisie","Population totale","Population","2013","10997"
"Bilans Alimentaires","Turkménistan","Population totale","Population","2008","4918"
"Bilans Alimentaires","Turkménistan","Population totale","Population","2013","5240"
"Bilans Alimentaires","Turquie","Population totale","Population","2008","70364"
"Bilans Alimentaires","Turquie","Population totale","Population","2013","74933"
"Bilans Alimentaires","Ukraine","Population totale","Population","2008","46461"
"Bilans Alimentaires","Ukraine","Population totale","Population","2013","45239"
"Bilans Alimentaires","Uruguay","Population totale","Population","2008","3349"
"Bilans Alimentaires","Uruguay","Population totale","Population","2013","3407"
"Bilans Alimentaires","Vanuatu","Population totale","Population","2008","225"
"Bilans Alimentaires","Vanuatu","Population totale","Population","2013","253"
"Bilans Alimentaires","Venezuela (République bolivarienne du)","Population totale","Population","2008","28120"
"Bilans Alimentaires","Venezuela (République bolivarienne du)","Population totale","Population","2013","30405"
"Bilans Alimentaires","Viet Nam","Population totale","Population","2008","87369"
"Bilans Alimentaires","Viet Nam","Population totale","Population","2013","91680"
"Bilans Alimentaires","Yémen","Population totale","Population","2008","21704"
"Bilans Alimentaires","Yémen","Population totale","Population","2013","24407"
"Bilans Alimentaires","Zambie","Population totale","Population","2008","12457"
"Bilans Alimentaires","Zambie","Population totale","Population","2013","14539"
"Bilans Alimentaires","Zimbabwe","Population totale","Population","2008","12784"
"Bilans Alimentaires","Zimbabwe","Population totale","Population","2013","14150"
